Date,Cloud,RootEntity,HierarchyLevel1,HierarchyLevel2,HierarchyLevel3,Service,Category,UsageType,Cost (USD),Tags,Dimensions
2025-06-01,AWS,Org-Root-123,OU-Prod,Acc-1010,TagGroup-Dev,SageMaker,AI Spend,OnDemand,379.39,"{'env': 'prod', 'team': 'FinOps', 'app': 'etl-pipeline', 'costCenter': 'CC-1881'}","{'region': 'us-west-2', 'billingSource': 'BigQueryExport', 'sku': 'premium'}"
2025-06-01,AWS,Org-Root-123,OU-Research,Acc-1008,TagGroup-Test,SageMaker,AI Spend,OnDemand,349.04,"{'env': 'dev', 'team': 'AI-Research', 'app': 'genai-api', 'costCenter': 'CC-1092'}","{'region': 'eastus', 'billingSource': 'CostManagementAPI', 'sku': 'standard'}"
2025-06-01,AWS,Org-Root-123,OU-Research,Acc-1001,TagGroup-Test,Bedrock,GenAI Spend,Preemptible,949.16,"{'env': 'test', 'team': 'DataEng', 'app': 'genai-api', 'costCenter': 'CC-1709'}","{'region': 'westus', 'billingSource': 'CostExplorerAPI', 'sku': 'premium'}"
2025-06-01,AWS,Org-Root-123,OU-Prod,Acc-1001,TagGroup-Dev,Bedrock,GenAI Spend,OnDemand,627.32,"{'env': 'test', 'team': 'AI-Research', 'app': 'data-warehouse', 'costCenter': 'CC-1541'}","{'region': 'us-east-1', 'billingSource': 'CostManagementAPI', 'sku': 'gpt-4'}"
2025-06-01,AWS,Org-Root-123,OU-Prod,Acc-1002,TagGroup-Prod,Bedrock,GenAI Spend,Spot,1658.9,"{'env': 'test', 'team': 'FinOps', 'app': 'chatbot', 'costCenter': 'CC-1261'}","{'region': 'asia-south1', 'billingSource': 'CostManagementAPI', 'sku': 'premium'}"
2025-06-01,Azure,Tenant-456,Mgmt-AI,Sub-2006,RG-GenAI,VMs,Infra Spend,Spot,1202.01,"{'env': 'dev', 'team': 'Platform', 'app': 'data-warehouse', 'costCenter': 'CC-1590'}","{'region': 'eastus', 'billingSource': 'CostManagementAPI', 'sku': 'standard'}"
2025-06-01,Azure,Tenant-456,Mgmt-FinOps,Sub-2003,RG-GenAI,VMs,Infra Spend,Reserved,2601.88,"{'env': 'dev', 'team': 'AI-Research', 'app': 'chatbot', 'costCenter': 'CC-1510'}","{'region': 'us-east-1', 'billingSource': 'CostManagementAPI', 'sku': 'standard'}"
2025-06-01,Azure,Tenant-456,Mgmt-Cloud,Sub-2001,RG-Prod,VMs,Infra Spend,OnDemand,662.11,"{'env': 'dev', 'team': 'FinOps', 'app': 'genai-api', 'costCenter': 'CC-1737'}","{'region': 'us-east-1', 'billingSource': 'CostExplorerAPI', 'sku': 'premium'}"
2025-06-01,Azure,Tenant-456,Mgmt-FinOps,Sub-2003,RG-GenAI,Blob Storage,Infra Spend,OnDemand,1093.99,"{'env': 'dev', 'team': 'DataEng', 'app': 'genai-api', 'costCenter': 'CC-1552'}","{'region': 'westus', 'billingSource': 'CostManagementAPI', 'sku': 'premium'}"
2025-06-01,Azure,Tenant-456,Mgmt-AI,Sub-2002,RG-GenAI,Blob Storage,Infra Spend,Spot,872.25,"{'env': 'prod', 'team': 'FinOps', 'app': 'data-warehouse', 'costCenter': 'CC-1305'}","{'region': 'eastus', 'billingSource': 'CostExplorerAPI', 'sku': 'premium'}"
2025-06-01,Azure,Tenant-456,Mgmt-Cloud,Sub-2009,RG-ML,Blob Storage,Infra Spend,Spot,908.09,"{'env': 'dev', 'team': 'DataEng', 'app': 'chatbot', 'costCenter': 'CC-1799'}","{'region': 'eastus', 'billingSource': 'CostExplorerAPI', 'sku': 'tpu-v4'}"
2025-06-01,Azure,Tenant-456,Mgmt-FinOps,Sub-2004,RG-ML,SQL DB,Infra Spend,Spot,1446.84,"{'env': 'prod', 'team': 'FinOps', 'app': 'data-warehouse', 'costCenter': 'CC-1245'}","{'region': 'us-west-2', 'billingSource': 'CostExplorerAPI', 'sku': 'tpu-v4'}"
2025-06-01,Azure,Tenant-456,Mgmt-Cloud,Sub-2009,RG-ML,SQL DB,Infra Spend,Reserved,1441.03,"{'env': 'test', 'team': 'FinOps', 'app': 'data-warehouse', 'costCenter': 'CC-1859'}","{'region': 'europe-west1', 'billingSource': 'CostExplorerAPI', 'sku': 'tpu-v4'}"
2025-06-01,Azure,Tenant-456,Mgmt-AI,Sub-2002,RG-Prod,SQL DB,Infra Spend,Reserved,299.58,"{'env': 'test', 'team': 'Platform', 'app': 'data-warehouse', 'costCenter': 'CC-1968'}","{'region': 'eastus', 'billingSource': 'BigQueryExport', 'sku': 'premium'}"
2025-06-01,Azure,Tenant-456,Mgmt-AI,Sub-2009,RG-Prod,AzureML,AI Spend,OnDemand,2497.93,"{'env': 'dev', 'team': 'Platform', 'app': 'data-warehouse', 'costCenter': 'CC-1854'}","{'region': 'us-east-1', 'billingSource': 'CostManagementAPI', 'sku': 'gpt-4'}"
2025-06-01,Azure,Tenant-456,Mgmt-FinOps,Sub-2004,RG-Prod,AzureML,AI Spend,Reserved,385.68,"{'env': 'dev', 'team': 'DataEng', 'app': 'genai-api', 'costCenter': 'CC-1204'}","{'region': 'us-west-2', 'billingSource': 'BigQueryExport', 'sku': 'gpt-4'}"
2025-06-01,Azure,Tenant-456,Mgmt-Cloud,Sub-2007,RG-GenAI,AzureML,AI Spend,Reserved,2991.36,"{'env': 'test', 'team': 'AI-Research', 'app': 'chatbot', 'costCenter': 'CC-1013'}","{'region': 'europe-west1', 'billingSource': 'CostManagementAPI', 'sku': 'gpt-4'}"
2025-06-01,Azure,Tenant-456,Mgmt-Cloud,Sub-2004,RG-ML,Azure OpenAI,GenAI Spend,Preemptible,1512.73,"{'env': 'test', 'team': 'DataEng', 'app': 'chatbot', 'costCenter': 'CC-1540'}","{'region': 'us-east-1', 'billingSource': 'CostManagementAPI', 'sku': 'standard'}"
2025-06-01,Azure,Tenant-456,Mgmt-AI,Sub-2002,RG-ML,Azure OpenAI,GenAI Spend,Spot,725.48,"{'env': 'test', 'team': 'AI-Research', 'app': 'etl-pipeline', 'costCenter': 'CC-1305'}","{'region': 'asia-south1', 'billingSource': 'CostExplorerAPI', 'sku': 'standard'}"
2025-06-01,Azure,Tenant-456,Mgmt-FinOps,Sub-2004,RG-ML,Azure OpenAI,GenAI Spend,Spot,889.85,"{'env': 'prod', 'team': 'FinOps', 'app': 'etl-pipeline', 'costCenter': 'CC-1350'}","{'region': 'asia-south1', 'billingSource': 'BigQueryExport', 'sku': 'tpu-v4'}"
2025-06-01,GCP,Org-789,Folder-Security,Proj-3003,SKU-Infra,GCE,Infra Spend,OnDemand,1291.79,"{'env': 'prod', 'team': 'AI-Research', 'app': 'data-warehouse', 'costCenter': 'CC-1945'}","{'region': 'us-east-1', 'billingSource': 'BigQueryExport', 'sku': 'gpt-4'}"
2025-06-01,GCP,Org-789,Folder-Data,Proj-3006,SKU-NLP,GCE,Infra Spend,Spot,2204.56,"{'env': 'dev', 'team': 'DataEng', 'app': 'genai-api', 'costCenter': 'CC-1336'}","{'region': 'eastus', 'billingSource': 'BigQueryExport', 'sku': 'standard'}"
2025-06-01,GCP,Org-789,Folder-Security,Proj-3009,SKU-Analytics,GCE,Infra Spend,Spot,2479.13,"{'env': 'prod', 'team': 'Platform', 'app': 'data-warehouse', 'costCenter': 'CC-1664'}","{'region': 'asia-south1', 'billingSource': 'BigQueryExport', 'sku': 'gpt-4'}"
2025-06-01,GCP,Org-789,Folder-GenAI,Proj-3005,SKU-Analytics,GCS,Infra Spend,Preemptible,1097.58,"{'env': 'dev', 'team': 'DataEng', 'app': 'etl-pipeline', 'costCenter': 'CC-1043'}","{'region': 'us-east-1', 'billingSource': 'BigQueryExport', 'sku': 'gpt-4'}"
2025-06-01,GCP,Org-789,Folder-Security,Proj-3003,SKU-Infra,GCS,Infra Spend,Spot,919.5,"{'env': 'dev', 'team': 'FinOps', 'app': 'genai-api', 'costCenter': 'CC-1931'}","{'region': 'asia-south1', 'billingSource': 'CostManagementAPI', 'sku': 'standard'}"
2025-06-01,GCP,Org-789,Folder-GenAI,Proj-3005,SKU-Infra,GCS,Infra Spend,Spot,1583.31,"{'env': 'test', 'team': 'DataEng', 'app': 'chatbot', 'costCenter': 'CC-1207'}","{'region': 'us-west-2', 'billingSource': 'CostExplorerAPI', 'sku': 'standard'}"
2025-06-01,GCP,Org-789,Folder-Data,Proj-3006,SKU-NLP,BigQuery,Infra Spend,OnDemand,2149.63,"{'env': 'prod', 'team': 'Platform', 'app': 'data-warehouse', 'costCenter': 'CC-1624'}","{'region': 'us-west-2', 'billingSource': 'CostExplorerAPI', 'sku': 'gpt-4'}"
2025-06-01,GCP,Org-789,Folder-GenAI,Proj-3001,SKU-NLP,BigQuery,Infra Spend,Spot,61.48,"{'env': 'dev', 'team': 'AI-Research', 'app': 'etl-pipeline', 'costCenter': 'CC-1221'}","{'region': 'asia-south1', 'billingSource': 'CostExplorerAPI', 'sku': 'premium'}"
2025-06-01,GCP,Org-789,Folder-Data,Proj-3006,SKU-Infra,BigQuery,Infra Spend,Preemptible,1668.76,"{'env': 'test', 'team': 'DataEng', 'app': 'data-warehouse', 'costCenter': 'CC-1466'}","{'region': 'eastus', 'billingSource': 'CostExplorerAPI', 'sku': 'standard'}"
2025-06-01,GCP,Org-789,Folder-GenAI,Proj-3005,SKU-NLP,Vertex AI,AI Spend,Reserved,1149.22,"{'env': 'prod', 'team': 'DataEng', 'app': 'chatbot', 'costCenter': 'CC-1600'}","{'region': 'westus', 'billingSource': 'CostManagementAPI', 'sku': 'premium'}"
2025-06-01,GCP,Org-789,Folder-Security,Proj-3002,SKU-NLP,Vertex AI,AI Spend,Preemptible,296.03,"{'env': 'test', 'team': 'DataEng', 'app': 'data-warehouse', 'costCenter': 'CC-1117'}","{'region': 'westus', 'billingSource': 'CostExplorerAPI', 'sku': 'standard'}"
2025-06-01,GCP,Org-789,Folder-GenAI,Proj-3007,SKU-NLP,Vertex AI,AI Spend,Spot,708.28,"{'env': 'test', 'team': 'FinOps', 'app': 'genai-api', 'costCenter': 'CC-1087'}","{'region': 'us-east-1', 'billingSource': 'CostManagementAPI', 'sku': 'gpt-4'}"
2025-06-01,GCP,Org-789,Folder-Security,Proj-3001,SKU-Analytics,TPUs,AI Spend,OnDemand,2565.87,"{'env': 'dev', 'team': 'FinOps', 'app': 'chatbot', 'costCenter': 'CC-1156'}","{'region': 'eastus', 'billingSource': 'BigQueryExport', 'sku': 'tpu-v4'}"
2025-06-01,GCP,Org-789,Folder-Security,Proj-3009,SKU-Analytics,TPUs,AI Spend,Preemptible,2275.5,"{'env': 'dev', 'team': 'DataEng', 'app': 'data-warehouse', 'costCenter': 'CC-1265'}","{'region': 'asia-south1', 'billingSource': 'CostManagementAPI', 'sku': 'tpu-v4'}"
2025-06-01,GCP,Org-789,Folder-Data,Proj-3004,SKU-Analytics,TPUs,AI Spend,Preemptible,899.3,"{'env': 'test', 'team': 'FinOps', 'app': 'genai-api', 'costCenter': 'CC-1857'}","{'region': 'asia-south1', 'billingSource': 'BigQueryExport', 'sku': 'premium'}"
2025-06-02,AWS,Org-Root-123,OU-Prod,Acc-1009,TagGroup-Test,EC2,Infra Spend,OnDemand,1903.16,"{'env': 'prod', 'team': 'AI-Research', 'app': 'genai-api', 'costCenter': 'CC-1186'}","{'region': 'asia-south1', 'billingSource': 'CostExplorerAPI', 'sku': 'standard'}"
2025-06-02,AWS,Org-Root-123,OU-Prod,Acc-1010,TagGroup-Test,EC2,Infra Spend,Preemptible,743.1,"{'env': 'test', 'team': 'Platform', 'app': 'genai-api', 'costCenter': 'CC-1961'}","{'region': 'us-east-1', 'billingSource': 'CostExplorerAPI', 'sku': 'gpt-4'}"
2025-06-02,AWS,Org-Root-123,OU-Prod,Acc-1010,TagGroup-Prod,EC2,Infra Spend,Reserved,269.66,"{'env': 'prod', 'team': 'Platform', 'app': 'genai-api', 'costCenter': 'CC-1767'}","{'region': 'eastus', 'billingSource': 'CostManagementAPI', 'sku': 'standard'}"
2025-06-02,AWS,Org-Root-123,OU-Finance,Acc-1002,TagGroup-Dev,S3,Infra Spend,Preemptible,1953.02,"{'env': 'prod', 'team': 'Platform', 'app': 'etl-pipeline', 'costCenter': 'CC-1854'}","{'region': 'us-west-2', 'billingSource': 'CostManagementAPI', 'sku': 'gpt-4'}"
2025-06-02,AWS,Org-Root-123,OU-Prod,Acc-1010,TagGroup-Test,S3,Infra Spend,Preemptible,1566.96,"{'env': 'dev', 'team': 'Platform', 'app': 'chatbot', 'costCenter': 'CC-1402'}","{'region': 'asia-south1', 'billingSource': 'CostManagementAPI', 'sku': 'premium'}"
2025-06-02,AWS,Org-Root-123,OU-Research,Acc-1002,TagGroup-Test,S3,Infra Spend,Spot,410.39,"{'env': 'dev', 'team': 'Platform', 'app': 'genai-api', 'costCenter': 'CC-1811'}","{'region': 'us-east-1', 'billingSource': 'CostManagementAPI', 'sku': 'gpt-4'}"
2025-06-02,AWS,Org-Root-123,OU-Prod,Acc-1008,TagGroup-Dev,RDS,Infra Spend,Spot,562.5,"{'env': 'dev', 'team': 'AI-Research', 'app': 'etl-pipeline', 'costCenter': 'CC-1600'}","{'region': 'us-west-2', 'billingSource': 'CostExplorerAPI', 'sku': 'premium'}"
2025-06-02,AWS,Org-Root-123,OU-Research,Acc-1003,TagGroup-Dev,RDS,Infra Spend,Preemptible,1404.86,"{'env': 'test', 'team': 'DataEng', 'app': 'etl-pipeline', 'costCenter': 'CC-1667'}","{'region': 'asia-south1', 'billingSource': 'CostManagementAPI', 'sku': 'standard'}"
2025-06-02,AWS,Org-Root-123,OU-Finance,Acc-1009,TagGroup-Prod,RDS,Infra Spend,Spot,2381.99,"{'env': 'dev', 'team': 'FinOps', 'app': 'etl-pipeline', 'costCenter': 'CC-1778'}","{'region': 'westus', 'billingSource': 'BigQueryExport', 'sku': 'premium'}"
2025-06-02,AWS,Org-Root-123,OU-Prod,Acc-1004,TagGroup-Test,SageMaker,AI Spend,OnDemand,451.01,"{'env': 'dev', 'team': 'AI-Research', 'app': 'genai-api', 'costCenter': 'CC-1822'}","{'region': 'europe-west1', 'billingSource': 'CostExplorerAPI', 'sku': 'tpu-v4'}"
2025-06-02,AWS,Org-Root-123,OU-Prod,Acc-1002,TagGroup-Dev,SageMaker,AI Spend,Preemptible,70.64,"{'env': 'dev', 'team': 'DataEng', 'app': 'etl-pipeline', 'costCenter': 'CC-1340'}","{'region': 'us-east-1', 'billingSource': 'BigQueryExport', 'sku': 'premium'}"
2025-06-02,AWS,Org-Root-123,OU-Finance,Acc-1004,TagGroup-Test,SageMaker,AI Spend,OnDemand,1480.54,"{'env': 'dev', 'team': 'AI-Research', 'app': 'etl-pipeline', 'costCenter': 'CC-1736'}","{'region': 'europe-west1', 'billingSource': 'CostManagementAPI', 'sku': 'tpu-v4'}"
2025-06-02,AWS,Org-Root-123,OU-Finance,Acc-1002,TagGroup-Test,Bedrock,GenAI Spend,OnDemand,536.45,"{'env': 'prod', 'team': 'Platform', 'app': 'chatbot', 'costCenter': 'CC-1443'}","{'region': 'eastus', 'billingSource': 'CostManagementAPI', 'sku': 'tpu-v4'}"
2025-06-02,AWS,Org-Root-123,OU-Prod,Acc-1002,TagGroup-Dev,Bedrock,GenAI Spend,Spot,1658.42,"{'env': 'prod', 'team': 'FinOps', 'app': 'genai-api', 'costCenter': 'CC-1682'}","{'region': 'asia-south1', 'billingSource': 'CostExplorerAPI', 'sku': 'premium'}"
2025-06-02,AWS,Org-Root-123,OU-Prod,Acc-1003,TagGroup-Test,Bedrock,GenAI Spend,Spot,1122.67,"{'env': 'test', 'team': 'AI-Research', 'app': 'genai-api', 'costCenter': 'CC-1607'}","{'region': 'westus', 'billingSource': 'CostExplorerAPI', 'sku': 'gpt-4'}"
2025-06-02,Azure,Tenant-456,Mgmt-Cloud,Sub-2002,RG-ML,VMs,Infra Spend,Reserved,2572.64,"{'env': 'prod', 'team': 'FinOps', 'app': 'genai-api', 'costCenter': 'CC-1644'}","{'region': 'eastus', 'billingSource': 'CostExplorerAPI', 'sku': 'premium'}"
2025-06-02,Azure,Tenant-456,Mgmt-Cloud,Sub-2005,RG-GenAI,VMs,Infra Spend,Reserved,387.4,"{'env': 'test', 'team': 'DataEng', 'app': 'etl-pipeline', 'costCenter': 'CC-1571'}","{'region': 'westus', 'billingSource': 'CostExplorerAPI', 'sku': 'gpt-4'}"
2025-06-02,Azure,Tenant-456,Mgmt-Cloud,Sub-2003,RG-GenAI,VMs,Infra Spend,Spot,2622.81,"{'env': 'test', 'team': 'Platform', 'app': 'chatbot', 'costCenter': 'CC-1414'}","{'region': 'asia-south1', 'billingSource': 'BigQueryExport', 'sku': 'gpt-4'}"
2025-06-02,Azure,Tenant-456,Mgmt-AI,Sub-2003,RG-ML,Blob Storage,Infra Spend,Reserved,607.69,"{'env': 'prod', 'team': 'AI-Research', 'app': 'genai-api', 'costCenter': 'CC-1758'}","{'region': 'eastus', 'billingSource': 'CostManagementAPI', 'sku': 'gpt-4'}"
2025-06-02,Azure,Tenant-456,Mgmt-AI,Sub-2006,RG-GenAI,Blob Storage,Infra Spend,Reserved,907.88,"{'env': 'dev', 'team': 'DataEng', 'app': 'chatbot', 'costCenter': 'CC-1171'}","{'region': 'westus', 'billingSource': 'CostExplorerAPI', 'sku': 'gpt-4'}"
2025-06-02,Azure,Tenant-456,Mgmt-Cloud,Sub-2009,RG-ML,Blob Storage,Infra Spend,Preemptible,2841.51,"{'env': 'dev', 'team': 'FinOps', 'app': 'etl-pipeline', 'costCenter': 'CC-1811'}","{'region': 'asia-south1', 'billingSource': 'CostExplorerAPI', 'sku': 'premium'}"
2025-06-02,Azure,Tenant-456,Mgmt-AI,Sub-2004,RG-GenAI,SQL DB,Infra Spend,Reserved,2133.08,"{'env': 'test', 'team': 'AI-Research', 'app': 'data-warehouse', 'costCenter': 'CC-1648'}","{'region': 'europe-west1', 'billingSource': 'BigQueryExport', 'sku': 'premium'}"
2025-06-02,Azure,Tenant-456,Mgmt-FinOps,Sub-2010,RG-ML,SQL DB,Infra Spend,Preemptible,1378.22,"{'env': 'dev', 'team': 'FinOps', 'app': 'chatbot', 'costCenter': 'CC-1395'}","{'region': 'asia-south1', 'billingSource': 'CostExplorerAPI', 'sku': 'tpu-v4'}"
2025-06-02,Azure,Tenant-456,Mgmt-Cloud,Sub-2010,RG-GenAI,SQL DB,Infra Spend,Spot,2082.8,"{'env': 'prod', 'team': 'DataEng', 'app': 'data-warehouse', 'costCenter': 'CC-1415'}","{'region': 'asia-south1', 'billingSource': 'CostManagementAPI', 'sku': 'tpu-v4'}"
2025-06-02,Azure,Tenant-456,Mgmt-FinOps,Sub-2008,RG-Prod,AzureML,AI Spend,OnDemand,1154.96,"{'env': 'prod', 'team': 'FinOps', 'app': 'chatbot', 'costCenter': 'CC-1980'}","{'region': 'europe-west1', 'billingSource': 'CostManagementAPI', 'sku': 'premium'}"
2025-06-02,Azure,Tenant-456,Mgmt-Cloud,Sub-2001,RG-Prod,AzureML,AI Spend,Reserved,784.47,"{'env': 'dev', 'team': 'AI-Research', 'app': 'genai-api', 'costCenter': 'CC-1220'}","{'region': 'westus', 'billingSource': 'CostManagementAPI', 'sku': 'standard'}"
2025-06-02,Azure,Tenant-456,Mgmt-AI,Sub-2004,RG-ML,AzureML,AI Spend,OnDemand,50.07,"{'env': 'prod', 'team': 'FinOps', 'app': 'etl-pipeline', 'costCenter': 'CC-1608'}","{'region': 'asia-south1', 'billingSource': 'BigQueryExport', 'sku': 'tpu-v4'}"
2025-06-02,Azure,Tenant-456,Mgmt-AI,Sub-2006,RG-ML,Azure OpenAI,GenAI Spend,Spot,2528.05,"{'env': 'prod', 'team': 'DataEng', 'app': 'data-warehouse', 'costCenter': 'CC-1906'}","{'region': 'us-east-1', 'billingSource': 'CostManagementAPI', 'sku': 'gpt-4'}"
2025-06-02,Azure,Tenant-456,Mgmt-FinOps,Sub-2005,RG-ML,Azure OpenAI,GenAI Spend,Preemptible,2057.77,"{'env': 'test', 'team': 'FinOps', 'app': 'data-warehouse', 'costCenter': 'CC-1242'}","{'region': 'us-east-1', 'billingSource': 'CostExplorerAPI', 'sku': 'tpu-v4'}"
2025-06-02,Azure,Tenant-456,Mgmt-FinOps,Sub-2009,RG-Prod,Azure OpenAI,GenAI Spend,Reserved,1761.77,"{'env': 'dev', 'team': 'FinOps', 'app': 'genai-api', 'costCenter': 'CC-1724'}","{'region': 'europe-west1', 'billingSource': 'CostExplorerAPI', 'sku': 'gpt-4'}"
2025-06-02,GCP,Org-789,Folder-Data,Proj-3010,SKU-Infra,GCE,Infra Spend,Preemptible,242.42,"{'env': 'prod', 'team': 'Platform', 'app': 'genai-api', 'costCenter': 'CC-1307'}","{'region': 'us-west-2', 'billingSource': 'BigQueryExport', 'sku': 'tpu-v4'}"
2025-06-02,GCP,Org-789,Folder-Security,Proj-3003,SKU-Analytics,GCE,Infra Spend,Reserved,569.21,"{'env': 'test', 'team': 'Platform', 'app': 'chatbot', 'costCenter': 'CC-1691'}","{'region': 'europe-west1', 'billingSource': 'BigQueryExport', 'sku': 'gpt-4'}"
2025-06-02,GCP,Org-789,Folder-Data,Proj-3003,SKU-Infra,GCE,Infra Spend,OnDemand,533.33,"{'env': 'test', 'team': 'AI-Research', 'app': 'etl-pipeline', 'costCenter': 'CC-1887'}","{'region': 'eastus', 'billingSource': 'CostExplorerAPI', 'sku': 'premium'}"
2025-06-02,GCP,Org-789,Folder-GenAI,Proj-3006,SKU-Analytics,GCS,Infra Spend,Spot,1925.21,"{'env': 'prod', 'team': 'Platform', 'app': 'chatbot', 'costCenter': 'CC-1275'}","{'region': 'us-west-2', 'billingSource': 'CostManagementAPI', 'sku': 'tpu-v4'}"
2025-06-02,GCP,Org-789,Folder-GenAI,Proj-3001,SKU-NLP,GCS,Infra Spend,Spot,1802.24,"{'env': 'test', 'team': 'FinOps', 'app': 'chatbot', 'costCenter': 'CC-1458'}","{'region': 'europe-west1', 'billingSource': 'BigQueryExport', 'sku': 'premium'}"
2025-06-02,GCP,Org-789,Folder-Data,Proj-3003,SKU-NLP,GCS,Infra Spend,Spot,1925.49,"{'env': 'test', 'team': 'AI-Research', 'app': 'genai-api', 'costCenter': 'CC-1656'}","{'region': 'us-east-1', 'billingSource': 'CostExplorerAPI', 'sku': 'gpt-4'}"
2025-06-02,GCP,Org-789,Folder-Security,Proj-3003,SKU-Infra,BigQuery,Infra Spend,OnDemand,2769.59,"{'env': 'prod', 'team': 'DataEng', 'app': 'data-warehouse', 'costCenter': 'CC-1274'}","{'region': 'us-west-2', 'billingSource': 'BigQueryExport', 'sku': 'tpu-v4'}"
2025-06-02,GCP,Org-789,Folder-Data,Proj-3007,SKU-Infra,BigQuery,Infra Spend,OnDemand,678.84,"{'env': 'test', 'team': 'AI-Research', 'app': 'genai-api', 'costCenter': 'CC-1706'}","{'region': 'us-east-1', 'billingSource': 'CostExplorerAPI', 'sku': 'standard'}"
2025-06-02,GCP,Org-789,Folder-Data,Proj-3001,SKU-NLP,BigQuery,Infra Spend,Spot,463.12,"{'env': 'test', 'team': 'DataEng', 'app': 'etl-pipeline', 'costCenter': 'CC-1323'}","{'region': 'westus', 'billingSource': 'BigQueryExport', 'sku': 'gpt-4'}"
2025-06-02,GCP,Org-789,Folder-GenAI,Proj-3003,SKU-Analytics,Vertex AI,AI Spend,Preemptible,2569.73,"{'env': 'test', 'team': 'FinOps', 'app': 'chatbot', 'costCenter': 'CC-1114'}","{'region': 'asia-south1', 'billingSource': 'BigQueryExport', 'sku': 'standard'}"
2025-06-02,GCP,Org-789,Folder-Data,Proj-3009,SKU-Analytics,Vertex AI,AI Spend,OnDemand,551.87,"{'env': 'test', 'team': 'FinOps', 'app': 'chatbot', 'costCenter': 'CC-1237'}","{'region': 'us-east-1', 'billingSource': 'CostManagementAPI', 'sku': 'standard'}"
2025-06-02,GCP,Org-789,Folder-GenAI,Proj-3002,SKU-NLP,Vertex AI,AI Spend,OnDemand,2001.67,"{'env': 'prod', 'team': 'FinOps', 'app': 'etl-pipeline', 'costCenter': 'CC-1643'}","{'region': 'europe-west1', 'billingSource': 'BigQueryExport', 'sku': 'tpu-v4'}"
2025-06-02,GCP,Org-789,Folder-GenAI,Proj-3010,SKU-Analytics,TPUs,AI Spend,Spot,1035.45,"{'env': 'prod', 'team': 'Platform', 'app': 'etl-pipeline', 'costCenter': 'CC-1509'}","{'region': 'westus', 'billingSource': 'BigQueryExport', 'sku': 'tpu-v4'}"
